company_id,industry,state,grid_factor,annual_kwh,monthly_kwh_avg,revenue_lakhs,annual_co2_kg,co2_per_lakh_revenue,energy_efficiency,solar_percent,ev_percent,has_rec,has_iso14001,tariff_avg,carbon_score,grade,grade_encoded
COMP_0018,steel,telangana,0.74,327862.4,27321.87,4324.14,453499.27,104.88,0.6758,20,0,0,0,6.85,60.0,B,2
COMP_0019,food_processing,jharkhand,0.89,202813.24,16901.1,2216.71,180503.78,81.43,0.7295,0,0,0,1,6.47,68.9,B+,3
COMP_0020,steel,telangana,0.74,211928.63,17660.72,2778.13,293139.68,105.52,0.6662,20,0,0,1,7.19,61.2,B,2
COMP_0021,auto_components,bihar,0.84,144907.23,12075.6,2297.13,121722.07,52.99,0.9023,15,0,0,0,7.07,61.4,B,2
COMP_0022,plastics,odisha,0.91,294270.13,24522.51,6683.7,457060.37,68.38,0.3885,0,30,0,0,7.17,43.4,C,1
COMP_0023,textile,gujarat,0.82,202248.1,16854.01,2996.75,165843.44,55.34,0.5394,50,0,0,0,7.4,56.9,B,2
COMP_0024,auto_components,madhya_pradesh,0.83,543347.1,45278.93,4495.66,800458.95,178.05,0.2584,40,0,0,0,7.82,44.7,C,1
COMP_0025,cement,bihar,0.84,939481.61,78290.13,21028.35,1393439.12,66.26,0.2652,10,0,1,1,6.99,63.1,B,2
COMP_0026,pharma,uttar_pradesh,0.85,254385.58,21198.8,4491.88,216227.74,48.14,0.6563,0,0,0,0,8.34,60.6,B,2
COMP_0027,textile,tamil_nadu,0.68,182793.17,15232.76,3017.83,241871.93,80.15,0.5348,0,0,0,0,8.04,53.2,B,2
COMP_0028,food_processing,odisha,0.91,60231.53,5019.29,1007.63,54810.7,54.4,0.9703,0,15,0,0,6.86,66.8,B+,3
COMP_0029,it_services,rajasthan,0.88,125099.1,10424.93,1633.89,110087.21,67.38,0.2058,0,0,0,0,8.95,44.3,C,1
COMP_0030,chemicals,karnataka,0.62,621399.18,51783.27,12575.84,784951.45,62.42,0.1788,0,0,1,0,8.14,57.5,B,2
COMP_0031,it_services,uttar_pradesh,0.85,102774.21,8564.52,966.72,87358.07,90.37,0.6168,10,0,0,1,8.3,73.6,B+,3
COMP_0032,it_services,odisha,0.91,55262.61,4605.22,1213.0,50288.97,41.46,0.6587,0,20,0,0,9.34,61.8,B,2
COMP_0033,pharma,madhya_pradesh,0.83,351226.99,29268.92,6840.36,517427.61,75.64,0.2434,30,0,0,0,7.73,46.3,C,1
COMP_0034,textile,telangana,0.74,93561.36,7796.78,2093.7,69235.4,33.07,0.7519,0,15,1,0,7.48,66.2,B+,3
COMP_0035,cement,karnataka,0.62,572257.28,47688.11,9109.88,722875.4,79.35,0.5194,15,0,0,0,6.25,56.9,B,2
COMP_0036,auto_components,uttar_pradesh,0.85,562152.97,46846.08,5883.78,477830.02,81.21,0.2248,0,5,0,0,6.56,47.4,C,1
COMP_0037,steel,rajasthan,0.88,285963.66,23830.3,5044.51,435579.84,86.35,0.7471,20,15,0,0,6.92,60.4,B,2
COMP_0038,pharma,karnataka,0.62,94683.31,7890.28,1667.88,58703.65,35.2,0.7683,50,15,0,0,8.37,61.5,B,2
COMP_0039,chemicals,madhya_pradesh,0.83,157605.26,13133.77,3020.39,232184.07,76.87,0.7921,0,0,0,0,7.41,63.8,B,2
COMP_0040,pharma,west_bengal,0.9,133629.62,11135.8,2819.69,206217.23,73.13,0.8864,5,15,0,0,7.99,57.9,B,2
COMP_0041,pharma,kerala,0.42,179173.38,14931.11,1739.35,190497.14,109.52,0.6341,0,0,0,1,8.39,68.1,B+,3
COMP_0042,it_services,tamil_nadu,0.68,32517.83,2709.82,541.7,43027.6,79.43,0.8972,0,0,0,0,9.12,59.1,B,2
COMP_0043,cement,uttar_pradesh,0.85,955300.36,79608.36,9714.84,812005.31,83.58,0.0001,0,15,0,0,6.96,40.6,C,1
COMP_0044,plastics,chhattisgarh,0.92,362721.04,30226.75,7708.81,333703.36,43.29,0.1714,15,0,0,1,7.99,59.3,B,2
COMP_0045,cement,uttar_pradesh,0.85,766645.08,63887.09,11959.01,651648.31,54.49,0.3483,25,10,0,0,6.34,58.6,B,2
COMP_0046,cement,west_bengal,0.9,850747.16,70895.6,16512.28,1312873.01,79.51,0.6143,10,0,0,0,5.9,65.1,B+,3
COMP_0047,pharma,bihar,0.84,126445.68,10537.14,2236.12,106214.37,47.5,0.7057,0,15,0,0,8.7,64.2,B,2
COMP_0048,textile,jharkhand,0.89,269525.34,22460.45,3792.22,239877.55,63.26,0.2088,0,10,0,0,8.05,45.4,C,1
COMP_0049,it_services,bihar,0.84,81512.96,6792.75,1859.66,68470.88,36.82,0.53,0,0,0,0,8.92,59.0,B,2
COMP_0050,plastics,andhra_pradesh,0.72,68048.17,5670.68,586.62,92763.27,158.13,0.946,10,15,0,0,7.75,60.6,B,2
COMP_0051,it_services,rajasthan,0.88,109708.44,9142.37,929.04,167107.89,179.87,0.5684,40,15,0,0,8.92,55.4,B,2
COMP_0052,food_processing,haryana,0.8,80411.88,6700.99,1554.44,116050.43,74.66,0.8542,0,0,0,0,7.57,61.2,B,2
COMP_0053,pharma,uttar_pradesh,0.85,330269.11,27522.43,5673.89,280728.74,49.48,0.2854,10,0,0,1,8.15,61.0,B,2
COMP_0054,steel,gujarat,0.82,456950.8,38079.23,11067.55,668610.41,60.41,0.4878,50,5,0,1,7.4,72.9,B+,3
COMP_0055,it_services,jharkhand,0.89,92260.34,7688.36,1918.06,82111.7,42.81,0.503,30,30,0,0,9.66,50.9,B,2
COMP_0056,it_services,uttar_pradesh,0.85,86339.86,7194.99,1098.33,73388.88,66.82,0.5699,20,15,0,0,9.21,69.0,B+,3
COMP_0057,it_services,gujarat,0.82,115245.07,9603.76,1938.32,94500.95,48.75,0.4349,0,0,0,0,9.49,54.0,B,2
COMP_0058,paper,karnataka,0.62,416383.6,34698.63,3870.48,258157.83,66.7,0.075,30,15,0,1,6.97,53.5,B,2
COMP_0059,auto_components,odisha,0.91,526779.96,43898.33,4885.71,818194.63,167.47,0.3135,0,5,0,0,7.29,45.1,C,1
COMP_0060,plastics,madhya_pradesh,0.83,65405.81,5450.48,1500.76,96355.84,64.2,0.7164,5,0,0,1,8.21,66.5,B+,3
COMP_0061,steel,gujarat,0.82,213983.59,17831.97,4200.22,313100.79,74.54,0.8171,20,10,1,0,7.09,68.4,B+,3
COMP_0062,it_services,tamil_nadu,0.68,174456.17,14538.01,1557.58,118630.19,76.16,0.1737,15,15,0,0,8.41,38.8,C,1
COMP_0063,steel,madhya_pradesh,0.83,837645.46,69803.79,20428.91,1234019.28,60.41,0.2618,0,5,0,0,6.38,45.5,C,1
COMP_0064,textile,odisha,0.91,137711.66,11475.97,1757.2,125317.61,71.32,0.7042,0,10,0,0,7.4,54.5,B,2
COMP_0065,chemicals,odisha,0.91,573284.63,47773.72,9895.94,890425.69,89.98,0.3154,10,15,0,1,8.35,58.4,B,2
COMP_0066,textile,delhi,0.72,185980.86,15498.41,2500.74,253529.11,101.38,0.4544,0,0,0,0,7.84,50.8,B,2
COMP_0067,pharma,chhattisgarh,0.92,117124.49,9760.37,1773.11,107754.53,60.77,0.82,0,0,1,0,7.95,62.4,B,2
COMP_0068,it_services,delhi,0.72,132699.56,11058.3,2255.07,95543.68,42.37,0.3052,0,0,0,1,8.17,58.4,B,2
COMP_0069,textile,haryana,0.8,88577.75,7381.48,2164.12,127835.41,59.07,0.5841,0,10,0,1,7.04,63.0,B,2
COMP_0070,pharma,tamil_nadu,0.68,220390.34,18365.86,4544.85,149865.43,32.97,0.5207,0,0,1,0,7.4,63.5,B,2
COMP_0071,pharma,madhya_pradesh,0.83,263360.86,21946.74,4887.08,218589.51,44.73,0.2866,25,20,0,0,7.85,44.3,C,1
COMP_0072,paper,haryana,0.8,232515.5,19376.29,5071.06,186012.4,36.68,0.8226,0,0,0,0,8.1,64.0,B,2
COMP_0073,pharma,tamil_nadu,0.68,166655.67,13887.97,3062.11,113325.86,37.01,0.7638,20,5,0,1,7.71,66.9,B+,3
COMP_0074,steel,chhattisgarh,0.92,465142.48,38761.87,8622.56,727110.72,84.33,0.6992,15,5,1,0,6.88,62.6,B,2
COMP_0075,food_processing,jharkhand,0.89,163140.13,13595.01,2493.97,145194.71,58.22,0.6693,0,0,0,1,6.41,74.4,B+,3
COMP_0076,cement,delhi,0.72,819288.38,68274.03,9224.53,589887.63,63.95,0.4207,0,0,0,0,6.35,52.2,B,2
COMP_0077,it_services,haryana,0.8,129132.76,10761.06,2571.65,103306.21,40.17,0.4062,25,5,0,0,8.92,57.3,B,2
COMP_0078,cement,punjab,0.76,372328.22,31027.35,3732.29,522450.96,139.98,0.5733,0,0,1,1,6.29,61.9,B,2
COMP_0079,steel,odisha,0.91,191575.65,15964.64,2064.18,174333.84,84.46,0.9196,0,0,0,0,7.11,67.1,B+,3
COMP_0080,paper,chhattisgarh,0.92,104642.66,8720.22,1043.72,96271.25,92.24,0.8276,0,0,0,0,7.6,60.6,B,2
COMP_0081,plastics,haryana,0.8,383970.82,31997.57,6511.06,554146.69,85.11,0.2786,5,0,0,1,7.6,52.7,B,2
COMP_0082,plastics,chhattisgarh,0.92,399777.74,33314.81,3303.48,624932.57,189.17,0.1746,5,0,0,0,7.85,42.2,C,1
COMP_0083,steel,haryana,0.8,732073.63,61006.14,18116.21,585658.9,32.33,0.2176,5,0,0,0,7.08,41.9,C,1
COMP_0084,cement,gujarat,0.82,586826.96,48902.25,5393.96,481198.11,89.21,0.773,10,0,1,1,6.11,79.6,B+,3
COMP_0085,food_processing,chhattisgarh,0.92,80719.84,6726.65,1537.67,126181.26,82.06,0.8517,0,15,0,0,6.32,59.9,B,2
COMP_0086,steel,rajasthan,0.88,811617.17,67634.76,14337.41,714223.11,49.82,0.0182,5,10,0,0,6.66,29.1,D,0
COMP_0087,plastics,gujarat,0.82,223328.92,18610.74,3299.52,183129.71,55.5,0.5208,30,5,0,0,6.84,53.1,B,2
COMP_0088,steel,telangana,0.74,421447.51,35120.63,6305.22,582946.19,92.45,0.7349,0,0,0,0,6.46,64.1,B,2
COMP_0089,it_services,tamil_nadu,0.68,30901.0,2575.08,357.14,21012.68,58.84,0.8064,0,15,0,0,8.25,55.5,B,2
COMP_0090,plastics,tamil_nadu,0.68,417023.49,34751.96,7309.25,283575.97,38.8,0.1159,50,5,0,0,8.16,50.6,B,2
COMP_0091,paper,odisha,0.91,349515.95,29126.33,3261.25,318059.51,97.53,0.3666,5,0,0,1,7.42,61.1,B,2
COMP_0092,plastics,rajasthan,0.88,304673.19,25389.43,2722.16,268112.4,98.49,0.2856,5,0,0,1,7.03,52.8,B,2
COMP_0093,pharma,andhra_pradesh,0.72,85761.64,7146.8,1493.38,61748.38,41.35,0.8034,0,10,0,0,7.64,60.1,B,2
COMP_0094,plastics,kerala,0.42,344038.55,28669.88,3801.23,365781.79,96.23,0.1969,5,0,0,0,8.18,47.6,C,1
COMP_0095,textile,tamil_nadu,0.68,38530.43,3210.87,319.78,50983.46,159.43,0.8972,0,5,0,0,6.92,59.6,B,2
COMP_0096,chemicals,karnataka,0.62,244639.79,20386.65,5884.12,151676.67,25.78,0.6662,0,10,0,0,7.63,63.6,B,2
COMP_0097,auto_components,tamil_nadu,0.68,251455.97,20954.66,2899.14,170990.06,58.98,0.8734,0,0,0,0,7.67,51.4,B,2
COMP_0098,chemicals,jharkhand,0.89,184237.87,15353.16,2403.52,282473.5,117.52,0.7146,0,0,1,1,8.38,69.2,B+,3
COMP_0099,paper,kerala,0.42,156664.36,13055.36,1519.79,166565.55,109.6,0.636,0,0,0,0,7.71,53.3,B,2
COMP_0100,pharma,bihar,0.84,182418.37,15201.53,4243.46,153231.43,36.11,0.5335,10,0,0,1,9.0,62.3,B,2
COMP_0101,it_services,punjab,0.76,126964.51,10580.38,2624.27,96493.02,36.77,0.4122,0,0,1,1,8.33,65.1,B+,3
COMP_0102,paper,rajasthan,0.88,80948.27,6745.69,1555.74,123300.4,79.26,0.7333,10,0,0,0,7.62,60.5,B,2
COMP_0103,it_services,punjab,0.76,75913.34,6326.11,1523.64,57694.14,37.87,0.638,0,0,0,0,8.69,53.8,B,2
COMP_0104,plastics,punjab,0.76,136900.91,11408.41,2488.44,104044.69,41.81,0.7058,0,0,0,1,8.24,72.7,B+,3
COMP_0105,pharma,chhattisgarh,0.92,104893.42,8741.12,1264.53,96501.95,76.31,0.8515,5,0,0,1,8.17,66.2,B+,3
COMP_0106,steel,uttar_pradesh,0.85,803990.53,66999.21,9460.1,1200518.66,126.9,0.2253,0,10,0,0,7.18,47.8,C,1
COMP_0107,pharma,chhattisgarh,0.92,160382.37,13365.2,1560.92,147551.78,94.53,0.7549,0,0,0,0,8.63,58.9,B,2
COMP_0108,pharma,rajasthan,0.88,207132.73,17261.06,4518.11,182276.8,40.34,0.4613,10,0,0,0,7.74,53.8,B,2
COMP_0109,cement,madhya_pradesh,0.83,827839.77,68986.65,17804.0,687107.01,38.59,0.4203,0,0,0,0,6.89,41.2,C,1
COMP_0110,food_processing,odisha,0.91,86575.46,7214.62,1110.63,78783.67,70.94,1.0,0,0,0,1,6.46,68.8,B+,3
COMP_0111,paper,karnataka,0.62,233943.76,19495.31,5027.74,145045.13,28.85,0.6095,15,5,0,0,8.08,60.8,B,2
COMP_0112,steel,punjab,0.76,703126.89,58593.91,8356.04,986627.65,118.07,0.3675,0,0,0,0,6.43,47.3,C,1
COMP_0113,auto_components,punjab,0.76,494191.53,41182.63,10410.6,375585.56,36.08,0.2316,0,0,0,1,7.83,57.8,B,2
COMP_0114,pharma,uttar_pradesh,0.85,92347.59,7695.63,839.37,78495.45,93.52,0.6659,0,0,0,1,8.7,66.2,B+,3
COMP_0115,plastics,west_bengal,0.9,315964.0,26330.33,3003.35,284367.6,94.68,0.3842,0,0,0,1,7.87,58.4,B,2
COMP_0116,auto_components,telangana,0.74,304110.36,25342.53,6549.29,420645.45,64.23,0.523,40,10,0,0,7.81,59.5,B,2
COMP_0117,paper,karnataka,0.62,454443.94,37870.33,4005.84,281755.25,70.34,0.3027,0,5,0,1,8.01,55.1,B,2
COMP_0118,textile,andhra_pradesh,0.72,234662.27,19555.19,4453.4,168956.84,37.94,0.3776,0,0,0,0,7.67,53.2,B,2
COMP_0119,it_services,bihar,0.84,149561.54,12463.46,3396.42,125631.7,36.99,0.1945,20,0,0,0,9.74,46.2,C,1
COMP_0120,paper,bihar,0.84,108432.46,9036.04,2427.08,91083.26,37.53,0.6145,0,0,0,0,7.59,57.2,B,2
COMP_0121,plastics,delhi,0.72,131619.49,10968.29,2673.36,94766.04,35.45,0.8011,15,15,0,0,7.91,64.5,B,2
COMP_0122,auto_components,chhattisgarh,0.92,335911.22,27992.6,3370.12,525096.41,155.81,0.5986,20,0,0,0,7.82,44.9,C,1
COMP_0123,it_services,madhya_pradesh,0.83,179944.5,14995.38,3165.25,149353.94,47.19,0.0,5,5,1,0,8.48,49.7,C,1
COMP_0124,food_processing,delhi,0.72,119180.96,9931.75,2308.32,85810.29,37.17,0.6277,0,0,1,0,6.56,58.0,B,2
COMP_0125,auto_components,gujarat,0.82,328057.74,27338.14,3156.28,269007.34,85.23,0.541,0,0,0,0,7.38,63.9,B,2
COMP_0126,food_processing,odisha,0.91,157239.16,13103.26,2902.64,143087.64,49.3,0.7241,25,10,0,0,6.68,62.3,B,2
COMP_0127,cement,madhya_pradesh,0.83,950744.26,79228.69,12000.79,789117.74,65.76,0.2616,0,15,1,1,6.64,63.9,B,2
COMP_0128,steel,gujarat,0.82,191973.29,15997.77,4404.49,157418.1,35.74,0.8146,0,0,0,0,6.76,55.1,B,2
COMP_0129,pharma,odisha,0.91,199187.74,16598.98,2032.63,309378.39,152.21,0.4601,0,5,1,0,7.89,50.7,B,2
COMP_0130,cement,tamil_nadu,0.68,439085.46,36590.45,6059.28,580997.88,95.89,0.8092,10,0,0,0,6.81,57.8,B,2
COMP_0131,chemicals,uttar_pradesh,0.85,640847.43,53403.95,8269.25,956913.39,115.72,0.3483,5,5,0,0,7.23,50.6,B,2
COMP_0132,steel,rajasthan,0.88,350714.94,29226.24,5405.68,308629.14,57.09,0.7565,0,5,0,1,7.32,65.3,B+,3
COMP_0133,auto_components,punjab,0.76,455085.32,37923.78,5272.13,345864.84,65.6,0.4028,15,5,0,1,6.82,62.1,B,2
COMP_0134,plastics,tamil_nadu,0.68,233381.33,19448.44,3578.87,308810.18,86.29,0.3936,20,10,0,1,8.04,64.4,B,2
COMP_0135,cement,punjab,0.76,853481.65,71123.47,13497.98,1197605.45,88.72,0.3986,0,5,0,1,5.92,59.6,B,2
COMP_0136,chemicals,kerala,0.42,204997.87,17083.16,3673.08,217953.74,59.34,0.8289,0,0,0,1,7.84,64.5,B,2
COMP_0137,auto_components,gujarat,0.82,359440.14,29953.34,8393.37,525932.81,62.66,0.4011,20,10,0,1,7.19,55.8,B,2
COMP_0138,steel,jharkhand,0.89,257732.69,21477.72,4147.3,229382.09,55.31,0.7718,0,10,0,1,6.39,62.7,B,2
COMP_0139,steel,tamil_nadu,0.68,867054.38,72254.53,8460.24,589596.98,69.69,0.227,5,0,0,1,6.32,56.8,B,2
COMP_0140,cement,andhra_pradesh,0.72,588285.35,49023.78,8103.25,801950.59,98.97,0.5443,0,0,0,0,6.42,52.7,B,2
COMP_0141,steel,punjab,0.76,879544.62,73295.39,12153.84,668453.91,55.0,0.2622,0,15,0,1,7.21,53.7,B,2
COMP_0142,textile,telangana,0.74,118300.98,9858.41,2366.91,163633.91,69.13,0.5849,0,5,0,0,7.13,57.6,B,2
COMP_0143,paper,tamil_nadu,0.68,343321.49,28610.12,2784.95,454282.99,163.12,0.5033,0,15,0,0,7.86,45.1,C,1
COMP_0144,cement,karnataka,0.62,324771.84,27064.32,7460.9,410251.78,54.99,0.6517,15,10,0,0,7.01,66.9,B+,3
COMP_0145,steel,west_bengal,0.9,228602.97,19050.25,5226.44,352780.1,67.5,0.8267,10,0,0,0,6.69,55.7,B,2
COMP_0146,steel,bihar,0.84,819000.13,68250.01,8282.18,1214741.0,146.67,0.3479,0,0,0,1,6.22,52.8,B,2
COMP_0147,auto_components,telangana,0.74,189035.52,15752.96,4633.95,261473.93,56.43,0.5969,5,0,0,0,6.69,57.5,B,2
COMP_0148,auto_components,gujarat,0.82,236760.52,19730.04,2575.83,346427.99,134.49,0.5506,0,0,0,1,6.85,63.6,B,2
COMP_0149,food_processing,kerala,0.42,345233.58,28769.46,5013.1,367052.34,73.22,0.2426,40,0,0,1,7.35,63.9,B,2
COMP_0150,auto_components,bihar,0.84,212816.34,17734.69,4387.65,178765.72,40.74,0.7346,0,0,0,1,6.83,65.3,B+,3
COMP_0151,auto_components,punjab,0.76,351334.32,29277.86,3619.1,267014.08,73.78,0.3634,0,5,0,0,7.77,52.1,B,2
COMP_0152,it_services,delhi,0.72,138253.48,11521.12,3367.67,99542.51,29.56,0.421,30,0,0,0,9.64,43.9,C,1
COMP_0153,plastics,madhya_pradesh,0.83,84306.96,7025.58,1289.38,69974.78,54.27,0.8445,10,0,0,0,7.3,65.4,B+,3
COMP_0154,steel,odisha,0.91,789185.42,65765.45,14336.96,718158.73,50.09,0.2349,40,0,0,0,6.84,48.8,C,1
COMP_0155,pharma,madhya_pradesh,0.83,391461.27,32621.77,4124.0,324912.85,78.79,0.3446,20,0,0,0,7.97,50.0,C,1
COMP_0156,food_processing,maharashtra,0.79,336000.64,28000.05,3091.42,265440.5,85.86,0.1027,50,10,0,0,6.96,49.3,C,1
COMP_0157,pharma,madhya_pradesh,0.83,266523.43,22210.29,3407.64,221214.45,64.92,0.419,5,0,1,0,8.17,47.4,C,1
COMP_0158,steel,uttar_pradesh,0.85,759036.05,63253.0,11472.86,1133392.64,98.79,0.343,0,0,1,1,6.64,60.1,B,2
COMP_0159,paper,jharkhand,0.89,215354.99,17946.25,5339.49,191665.94,35.9,0.556,50,0,0,0,7.52,57.0,B,2
COMP_0160,steel,delhi,0.72,540808.19,45067.35,7114.67,389381.9,54.73,0.3703,5,0,0,0,6.5,45.3,C,1
COMP_0161,it_services,jharkhand,0.89,173135.98,14428.0,2091.15,154091.03,73.69,0.2061,15,0,1,0,9.3,61.2,B,2
COMP_0162,chemicals,jharkhand,0.89,221287.41,18440.62,5159.27,339277.85,65.76,0.7383,0,0,0,1,8.28,62.2,B,2
COMP_0163,paper,odisha,0.91,474006.56,39500.55,6324.13,431345.97,68.21,0.143,10,0,1,0,7.86,53.1,B,2
COMP_0164,textile,karnataka,0.62,156103.7,13008.64,3790.61,96784.29,25.53,0.6507,0,0,0,0,7.4,55.8,B,2
COMP_0165,cement,jharkhand,0.89,907199.48,75599.96,12195.44,1390918.24,114.05,0.372,0,0,0,0,7.08,49.0,C,1
COMP_0166,steel,madhya_pradesh,0.83,707654.49,58971.21,15023.77,1042516.59,69.39,0.3886,0,0,0,0,6.94,39.0,C,1
COMP_0167,steel,kerala,0.42,416405.88,34700.49,7137.98,442722.73,62.02,0.7643,0,0,0,1,6.34,72.3,B+,3
COMP_0168,paper,punjab,0.76,196215.15,16351.26,2178.86,275329.1,126.36,0.6245,0,5,0,1,7.66,61.1,B,2
COMP_0169,textile,karnataka,0.62,260886.17,21740.51,3038.74,161749.42,53.23,0.42,0,0,0,0,7.98,58.0,B,2
COMP_0170,steel,uttar_pradesh,0.85,556132.44,46344.37,6837.99,830416.96,121.44,0.5507,25,0,0,1,7.44,64.5,B,2
COMP_0171,chemicals,tamil_nadu,0.68,215875.61,17989.63,2494.09,146795.41,58.86,0.791,15,0,1,0,8.16,72.4,B+,3
COMP_0172,plastics,andhra_pradesh,0.72,346293.32,28857.78,3268.61,249331.19,76.28,0.3622,0,0,0,0,7.53,50.7,B,2
COMP_0173,cement,tamil_nadu,0.68,657343.48,54778.62,15124.65,869796.89,57.51,0.5087,20,0,0,0,6.77,60.8,B,2
COMP_0174,it_services,kerala,0.42,123250.76,10270.9,998.85,51765.32,51.82,0.4433,0,0,0,1,8.39,56.5,B,2
COMP_0175,paper,maharashtra,0.79,291333.71,24277.81,6792.73,417539.47,61.47,0.5702,10,0,0,0,7.4,52.7,B,2
COMP_0176,textile,delhi,0.72,88762.25,7396.85,1263.89,63908.82,50.57,0.7204,0,15,0,0,7.98,52.8,B,2
COMP_0177,cement,haryana,0.8,575241.62,47936.8,7090.91,460193.3,64.9,0.5481,0,15,0,0,5.91,69.2,B+,3
COMP_0178,steel,haryana,0.8,772578.82,64381.57,15589.08,1114985.75,71.52,0.3109,10,30,0,0,7.3,52.4,B,2
COMP_0179,paper,karnataka,0.62,475895.8,39657.98,7117.95,295055.39,41.45,0.1243,0,0,1,0,7.83,46.1,C,1
COMP_0180,steel,telangana,0.74,860953.67,71746.14,15359.77,637105.72,41.48,0.1163,40,5,0,1,6.79,50.7,B,2
COMP_0181,textile,uttar_pradesh,0.85,213621.79,17801.82,1798.44,181578.52,100.96,0.3684,0,10,0,0,7.48,56.5,B,2
COMP_0182,chemicals,telangana,0.74,393169.66,32764.14,6935.92,543832.27,78.41,0.5731,0,0,0,0,7.47,52.2,B,2
COMP_0183,plastics,karnataka,0.62,240594.79,20049.57,5130.76,149168.77,29.07,0.6901,0,5,0,0,7.02,54.6,B,2
COMP_0184,plastics,chhattisgarh,0.92,81401.08,6783.42,1709.07,74889.0,43.82,0.8393,0,0,1,0,7.19,69.4,B+,3
COMP_0185,it_services,rajasthan,0.88,173214.62,14434.55,1688.68,152428.87,90.27,0.2975,20,0,0,0,8.34,47.5,C,1
COMP_0186,cement,kerala,0.42,686352.75,57196.06,6770.26,729730.25,107.78,0.4859,0,0,0,0,6.38,55.3,B,2
COMP_0187,plastics,odisha,0.91,280401.83,23366.82,6179.59,435520.13,70.48,0.3029,0,0,0,1,8.35,58.6,B,2
COMP_0188,it_services,bihar,0.84,42578.09,3548.17,525.29,35765.6,68.09,0.6908,0,5,1,0,9.37,67.1,B+,3
COMP_0189,pharma,punjab,0.76,352768.8,29397.4,7797.76,268104.29,34.38,0.32,25,0,0,0,7.98,54.9,B,2
COMP_0190,chemicals,uttar_pradesh,0.85,617272.52,51439.38,9841.68,921711.33,93.65,0.2184,20,0,1,0,7.4,54.6,B,2
COMP_0191,it_services,uttar_pradesh,0.85,76792.57,6399.38,1790.46,65273.68,36.46,0.5789,0,0,0,0,9.38,64.2,B,2
COMP_0192,plastics,tamil_nadu,0.68,169468.46,14122.37,1421.21,115238.55,81.08,0.623,5,10,0,0,8.28,61.0,B,2
COMP_0193,food_processing,karnataka,0.62,353017.05,29418.09,6282.18,218870.57,34.84,0.1949,20,0,1,1,7.02,66.3,B+,3
COMP_0194,steel,chhattisgarh,0.92,823144.83,68595.4,10510.52,1286740.0,122.42,0.1953,25,0,0,0,6.99,44.7,C,1
COMP_0195,auto_components,maharashtra,0.79,141166.65,11763.89,2049.91,202320.04,98.7,0.9645,0,0,0,0,6.61,60.7,B,2
COMP_0196,auto_components,bihar,0.84,194403.46,16200.29,3112.43,288339.21,92.64,0.8585,0,0,0,0,7.74,56.5,B,2
