sme_id,date,year,month,quarter,industry,state,grid_factor,tariff_per_kwh,monthly_kwh,fuel_litres,fuel_type,electricity_co2_kg,fuel_co2_kg,total_co2_kg,electricity_cost_rs,is_monsoon,is_peak_month,is_festival_month,kwh_rolling_3m,kwh_rolling_6m,kwh_lag_1m,kwh_lag_3m,co2_rolling_3m
SME_0000,2023-07-25,2023,7,3,chemicals,chhattisgarh,0.92,8.03,42767.25,804.4,diesel,39345.87,2155.79,41501.66,343457.83,1,0,0,52055.4,57723.85,47774.42,80019.45,50397.66
SME_0000,2023-08-24,2023,8,3,chemicals,chhattisgarh,0.92,8.03,40391.78,797.21,diesel,37160.44,2136.52,39296.96,324380.76,1,0,0,43644.48,57177.43,42767.25,65624.54,42350.61
SME_0000,2023-09-23,2023,9,3,chemicals,chhattisgarh,0.92,8.03,58833.03,1203.95,diesel,54126.39,3226.59,57352.98,472479.88,1,1,0,47330.69,55901.74,40391.78,47774.42,46050.53
SME_0000,2023-10-23,2023,10,4,chemicals,chhattisgarh,0.92,8.03,59037.1,1131.76,diesel,54314.13,3033.12,57347.25,474118.74,0,1,1,52753.97,52404.69,58833.03,42767.25,51332.4
SME_0000,2023-11-22,2023,11,4,chemicals,chhattisgarh,0.92,8.03,42176.56,794.21,diesel,38802.44,2128.48,40930.92,338714.08,0,0,1,53348.9,48496.69,59037.1,40391.78,51877.05
SME_0000,2023-12-22,2023,12,4,chemicals,chhattisgarh,0.92,8.03,39063.68,761.48,diesel,35938.59,2040.77,37979.36,313714.98,0,0,0,46759.11,47044.9,42176.56,58833.03,45419.18
SME_0000,2024-01-21,2024,1,1,chemicals,chhattisgarh,0.92,8.03,45196.44,834.4,diesel,41580.72,2236.19,43816.91,362966.32,0,0,0,42145.56,47449.76,39063.68,59037.1,40909.06
SME_0000,2024-02-20,2024,2,1,chemicals,chhattisgarh,0.92,8.03,45802.88,802.85,diesel,42138.65,2151.64,44290.29,367836.56,0,0,0,43354.33,48351.62,45196.44,42176.56,42028.85
SME_0000,2024-03-21,2024,3,1,chemicals,chhattisgarh,0.92,8.03,65091.18,1099.14,diesel,59883.89,2945.7,62829.59,522738.21,0,1,0,52030.17,49394.64,45802.88,39063.68,50312.26
SME_0000,2024-04-20,2024,4,2,chemicals,chhattisgarh,0.92,8.03,64614.41,1074.52,diesel,59445.26,2879.71,62324.97,518909.34,0,1,0,58502.82,50324.19,65091.18,45196.44,56481.62
SME_0000,2024-05-20,2024,5,2,chemicals,chhattisgarh,0.92,8.03,68076.75,1142.57,diesel,62630.61,3062.09,65692.7,546714.91,0,1,0,65927.45,54640.89,64614.41,45802.88,63615.75
SME_0000,2024-06-19,2024,6,2,chemicals,chhattisgarh,0.92,8.03,42782.23,740.82,diesel,39359.65,1985.4,41345.05,343578.14,1,0,0,58491.13,55260.65,68076.75,65091.18,56454.24
SME_0000,2024-07-19,2024,7,3,chemicals,chhattisgarh,0.92,8.03,51896.82,940.73,diesel,47745.07,2521.16,50266.23,416776.14,1,0,0,54251.93,56377.38,42782.23,64614.41,52434.66
SME_0000,2024-08-18,2024,8,3,chemicals,chhattisgarh,0.92,8.03,56968.98,1083.75,diesel,52411.46,2904.45,55315.91,457509.95,1,0,0,50549.34,58238.4,51896.82,68076.75,48975.73
SME_0000,2024-09-17,2024,9,3,chemicals,chhattisgarh,0.92,8.03,62404.97,1231.02,diesel,57412.57,3299.13,60711.7,501165.63,1,1,0,57090.26,57790.69,56968.98,42782.23,55431.28
SME_0000,2024-10-17,2024,10,4,chemicals,chhattisgarh,0.92,8.03,60806.44,1123.8,diesel,55941.92,3011.78,58953.7,488328.06,0,1,1,60060.13,57156.03,62404.97,51896.82,58327.1
SME_0000,2024-11-16,2024,11,4,chemicals,chhattisgarh,0.92,8.03,50831.25,922.9,diesel,46764.75,2473.37,49238.12,408218.7,0,0,1,58014.22,54281.78,60806.44,56968.98,56301.17
SME_0001,2022-01-01,2022,1,1,cement,kerala,0.42,5.61,37353.42,747.07,diesel,15688.44,2002.15,17690.59,209671.96,0,1,0,37353.42,37353.42,37353.42,37353.42,17690.59
SME_0001,2022-01-31,2022,1,1,cement,kerala,0.42,5.61,40848.54,813.58,diesel,17156.39,2180.39,19336.78,229290.75,0,1,0,39100.98,39100.98,37353.42,37353.42,18513.68
SME_0001,2022-03-02,2022,3,1,cement,kerala,0.42,5.61,45815.2,836.31,diesel,19242.38,2241.31,21483.69,257169.57,0,1,0,41339.05,41339.05,40848.54,37353.42,19503.69
SME_0001,2022-04-01,2022,4,2,cement,kerala,0.42,5.61,35295.62,633.82,diesel,14824.16,1698.64,16522.8,198121.13,0,0,0,40653.12,39828.2,45815.2,37353.42,19114.42
SME_0001,2022-05-01,2022,5,2,cement,kerala,0.42,5.61,32750.11,592.92,diesel,13755.05,1589.03,15344.08,183832.7,0,0,0,37953.64,38412.58,35295.62,40848.54,17783.52
SME_0001,2022-05-31,2022,5,2,cement,kerala,0.42,5.61,26186.87,472.16,diesel,10998.49,1265.39,12263.88,146991.96,0,0,0,31410.87,36374.96,32750.11,45815.2,14710.25
SME_0001,2022-06-30,2022,6,2,cement,kerala,0.42,5.61,31846.06,591.8,diesel,13375.35,1586.02,14961.37,178758.09,1,0,0,30261.01,35457.07,26186.87,35295.62,14189.78
SME_0001,2022-07-30,2022,7,3,cement,kerala,0.42,5.61,26092.17,551.15,diesel,10958.71,1477.08,12435.79,146460.39,1,0,0,28041.7,32997.67,31846.06,32750.11,13220.35
SME_0001,2022-08-29,2022,8,3,cement,kerala,0.42,5.61,24132.5,534.42,diesel,10135.65,1432.25,11567.9,135460.39,1,0,0,27356.91,29383.89,26092.17,26186.87,12988.35
SME_0001,2022-09-28,2022,9,3,cement,kerala,0.42,5.61,28821.92,608.28,diesel,12105.21,1630.19,13735.4,161783.01,1,0,0,26348.86,28304.94,24132.5,31846.06,12579.7
SME_0001,2022-10-28,2022,10,4,cement,kerala,0.42,5.61,48958.19,967.08,diesel,20562.44,2591.77,23154.21,274811.78,0,1,1,33970.87,31006.29,28821.92,26092.17,16152.5
SME_0001,2022-11-27,2022,11,4,cement,kerala,0.42,5.61,49434.77,958.33,diesel,20762.6,2568.32,23330.92,277486.92,0,1,1,42404.96,34880.94,48958.19,24132.5,20073.51
SME_0001,2022-12-27,2022,12,4,cement,kerala,0.42,5.61,40055.39,803.12,diesel,16823.26,2152.36,18975.62,224838.64,0,1,0,46149.45,36249.16,49434.77,28821.92,21820.25
SME_0001,2023-01-26,2023,1,1,cement,kerala,0.42,5.61,44779.97,849.58,diesel,18807.59,2276.87,21084.46,251358.62,0,1,0,44756.71,39363.79,40055.39,48958.19,21130.33
SME_0001,2023-02-25,2023,2,1,cement,kerala,0.42,5.61,50324.64,905.73,diesel,21136.35,2427.36,23563.71,282481.93,0,1,0,45053.33,43729.15,44779.97,49434.77,21207.93
SME_0001,2023-03-27,2023,3,1,cement,kerala,0.42,5.61,55544.52,962.21,diesel,23328.7,2578.72,25907.42,311782.12,0,1,0,50216.38,48182.91,50324.64,40055.39,23518.53
SME_0001,2023-04-26,2023,4,2,cement,kerala,0.42,5.61,32017.47,545.75,diesel,13447.34,1462.61,14909.95,179720.25,0,0,0,45962.21,45359.46,55544.52,44779.97,21460.36
SME_0001,2023-05-26,2023,5,2,cement,kerala,0.42,5.61,32729.91,562.58,diesel,13746.56,1507.71,15254.27,183719.31,0,0,0,40097.3,42575.32,32017.47,50324.64,18690.55
SME_0001,2023-06-25,2023,6,2,cement,kerala,0.42,5.61,28771.97,509.8,diesel,12084.23,1366.26,13450.49,161502.63,1,0,0,31173.12,40694.75,32729.91,55544.52,14538.24
SME_0001,2023-07-25,2023,7,3,cement,kerala,0.42,5.61,25051.7,504.65,diesel,10521.71,1352.46,11874.17,140620.03,1,0,0,28851.19,37406.7,28771.97,32017.47,13526.31
SME_0001,2023-08-24,2023,8,3,cement,kerala,0.42,5.61,29342.14,619.8,diesel,12323.7,1661.06,13984.76,164703.1,1,0,0,27721.94,33909.62,25051.7,32729.91,13103.14
SME_0001,2023-09-23,2023,9,3,cement,kerala,0.42,5.61,32330.67,650.96,diesel,13578.88,1744.57,15323.45,181478.3,1,0,0,28908.17,30040.64,29342.14,28771.97,13727.46
SME_0001,2023-10-23,2023,10,4,cement,kerala,0.42,5.61,46177.79,870.38,diesel,19394.67,2332.62,21727.29,259204.86,0,1,1,35950.2,32400.7,32330.67,25051.7,17011.83
SME_0001,2023-11-22,2023,11,4,cement,kerala,0.42,5.61,52140.56,964.67,diesel,21899.04,2585.32,24484.36,292675.04,0,1,1,43549.67,35635.8,46177.79,29342.14,20511.7
SME_0001,2023-12-22,2023,12,4,cement,kerala,0.42,5.61,47463.54,908.39,diesel,19934.69,2434.49,22369.18,266422.02,0,1,0,48593.96,38751.07,52140.56,32330.67,22860.28
SME_0001,2024-01-21,2024,1,1,cement,kerala,0.42,5.61,45278.11,820.13,diesel,19016.81,2197.95,21214.76,254154.78,0,1,0,48294.07,42122.14,47463.54,46177.79,22689.43
SME_0001,2024-02-20,2024,2,1,cement,kerala,0.42,5.61,52855.89,908.37,diesel,22199.47,2434.43,24633.9,296690.32,0,1,0,48532.51,46041.09,45278.11,52140.56,22739.28
SME_0001,2024-03-21,2024,3,1,cement,kerala,0.42,5.61,61138.97,1011.53,diesel,25678.37,2710.9,28389.27,343184.85,0,1,0,53090.99,50842.48,52855.89,47463.54,24745.98
SME_0001,2024-04-20,2024,4,2,cement,kerala,0.42,5.61,35079.11,571.17,diesel,14733.23,1530.74,16263.97,196905.82,0,0,0,49691.32,48992.7,61138.97,45278.11,23095.71
SME_0001,2024-05-20,2024,5,2,cement,kerala,0.42,5.61,40367.8,662.91,diesel,16954.48,1776.6,18731.08,226592.26,0,0,0,45528.63,47030.57,35079.11,52855.89,21128.11
SME_0001,2024-06-19,2024,6,2,cement,kerala,0.42,5.61,24986.43,423.05,diesel,10494.3,1133.77,11628.07,140253.66,1,0,0,33477.78,43284.38,40367.8,61138.97,15541.04
SME_0001,2024-07-19,2024,7,3,cement,kerala,0.42,5.61,32221.11,620.33,diesel,13532.87,1662.48,15195.35,180863.32,1,0,0,32525.11,41108.22,24986.43,35079.11,15184.83
SME_0001,2024-08-18,2024,8,3,cement,kerala,0.42,5.61,28636.78,578.21,diesel,12027.45,1549.6,13577.05,160743.78,1,0,0,28614.77,37071.7,32221.11,40367.8,13466.82
SME_0001,2024-09-17,2024,9,3,cement,kerala,0.42,5.61,28888.06,556.08,diesel,12132.99,1490.29,13623.28,162154.26,1,0,0,29915.32,31696.55,28636.78,24986.43,14131.89
SME_0001,2024-10-17,2024,10,4,cement,kerala,0.42,5.61,49089.43,884.73,diesel,20617.56,2371.08,22988.64,275548.46,0,1,1,35538.09,34031.6,28888.06,32221.11,16729.66
SME_0001,2024-11-16,2024,11,4,cement,kerala,0.42,5.61,39699.48,702.44,diesel,16673.78,1882.54,18556.32,222840.85,0,1,1,39225.66,33920.22,49089.43,28636.78,18389.41
SME_0002,2022-01-01,2022,1,1,it_services,rajasthan,0.88,9.69,6102.45,0.0,none,5370.16,0.0,5370.16,59132.67,0,0,0,6102.45,6102.45,6102.45,6102.45,5370.16
SME_0002,2022-01-31,2022,1,1,it_services,rajasthan,0.88,9.69,6008.38,0.0,none,5287.37,0.0,5287.37,58221.13,0,0,0,6055.42,6055.42,6102.45,6102.45,5328.76
SME_0002,2022-03-02,2022,3,1,it_services,rajasthan,0.88,9.69,7209.25,0.0,none,6344.14,0.0,6344.14,69857.55,0,0,0,6440.03,6440.03,6008.38,6102.45,5667.22
SME_0002,2022-04-01,2022,4,2,it_services,rajasthan,0.88,9.69,11937.92,0.0,none,10505.37,0.0,10505.37,115678.3,0,1,0,8385.18,7814.5,7209.25,6102.45,7378.96
SME_0002,2022-05-01,2022,5,2,it_services,rajasthan,0.88,9.69,10911.08,0.0,none,9601.75,0.0,9601.75,105728.24,0,1,0,10019.42,8433.82,11937.92,6008.38,8817.09
SME_0002,2022-05-31,2022,5,2,it_services,rajasthan,0.88,9.69,11043.38,0.0,none,9718.17,0.0,9718.17,107010.22,0,1,0,11297.46,8868.74,10911.08,7209.25,9941.76
SME_0002,2022-06-30,2022,6,2,it_services,rajasthan,0.88,9.69,11841.22,0.0,none,10420.27,0.0,10420.27,114741.28,1,1,0,11265.23,9825.2,11043.38,11937.92,9913.4
SME_0002,2022-07-30,2022,7,3,it_services,rajasthan,0.88,9.69,10155.67,0.0,none,8936.99,0.0,8936.99,98408.32,1,1,0,11013.42,10516.42,11841.22,10911.08,9691.81
SME_0002,2022-08-29,2022,8,3,it_services,rajasthan,0.88,9.69,9246.71,0.0,none,8137.1,0.0,8137.1,89600.51,1,1,0,10414.53,10856.0,10155.67,11043.38,9164.79
SME_0002,2022-09-28,2022,9,3,it_services,rajasthan,0.88,9.69,6442.81,0.0,none,5669.67,0.0,5669.67,62430.75,1,0,0,8615.06,9940.14,9246.71,11841.22,7581.25
SME_0002,2022-10-28,2022,10,4,it_services,rajasthan,0.88,9.69,6298.28,0.0,none,5542.49,0.0,5542.49,61030.26,0,0,1,7329.27,9171.34,6442.81,10155.67,6449.75
SME_0002,2022-11-27,2022,11,4,it_services,rajasthan,0.88,9.69,6358.58,0.0,none,5595.55,0.0,5595.55,61614.56,0,0,1,6366.56,8390.54,6298.28,9246.71,5602.57
SME_0002,2022-12-27,2022,12,4,it_services,rajasthan,0.88,9.69,7211.62,0.0,none,6346.23,0.0,6346.23,69880.51,0,0,0,6622.83,7618.94,6358.58,6442.81,5828.09
SME_0002,2023-01-26,2023,1,1,it_services,rajasthan,0.88,9.69,6577.27,0.0,none,5788.0,0.0,5788.0,63733.67,0,0,0,6715.82,7022.54,7211.62,6298.28,5909.93
SME_0002,2023-02-25,2023,2,1,it_services,rajasthan,0.88,9.69,5257.04,0.0,none,4626.2,0.0,4626.2,50940.65,0,0,0,6348.64,6357.6,6577.27,6358.58,5586.81
SME_0002,2023-03-27,2023,3,1,it_services,rajasthan,0.88,9.69,7709.63,0.0,none,6784.47,0.0,6784.47,74706.22,0,0,0,6514.65,6568.74,5257.04,7211.62,5732.89
SME_0002,2023-04-26,2023,4,2,it_services,rajasthan,0.88,9.69,11148.74,0.0,none,9810.89,0.0,9810.89,108031.16,0,1,0,8038.47,7377.15,7709.63,6577.27,7073.85
SME_0002,2023-05-26,2023,5,2,it_services,rajasthan,0.88,9.69,11202.01,0.0,none,9857.77,0.0,9857.77,108547.34,0,1,0,10020.13,8184.38,11148.74,5257.04,8817.71
SME_0002,2023-06-25,2023,6,2,it_services,rajasthan,0.88,9.69,11721.62,0.0,none,10315.03,0.0,10315.03,113582.36,1,1,0,11357.46,8936.05,11202.01,7709.63,9994.56
SME_0002,2023-07-25,2023,7,3,it_services,rajasthan,0.88,9.69,10564.89,0.0,none,9297.1,0.0,9297.1,102373.66,1,1,0,11162.84,9600.66,11721.62,11148.74,9823.3
SME_0002,2023-08-24,2023,8,3,it_services,rajasthan,0.88,9.69,10487.19,0.0,none,9228.73,0.0,9228.73,101620.75,1,1,0,10924.57,10472.35,10564.89,11202.01,9613.62
SME_0002,2023-09-23,2023,9,3,it_services,rajasthan,0.88,9.69,5179.16,0.0,none,4557.66,0.0,4557.66,50186.0,1,0,0,8743.75,10050.6,10487.19,11721.62,7694.5
SME_0002,2023-10-23,2023,10,4,it_services,rajasthan,0.88,9.69,6293.65,0.0,none,5538.41,0.0,5538.41,60985.39,0,0,1,7320.0,9241.42,5179.16,10564.89,6441.6
SME_0002,2023-11-22,2023,11,4,it_services,rajasthan,0.88,9.69,8089.32,0.0,none,7118.6,0.0,7118.6,78385.41,0,0,1,6520.71,8722.64,6293.65,10487.19,5738.22
SME_0002,2023-12-22,2023,12,4,it_services,rajasthan,0.88,9.69,6857.93,0.0,none,6034.98,0.0,6034.98,66453.26,0,0,0,7080.3,7912.02,8089.32,5179.16,6230.66
SME_0002,2024-01-21,2024,1,1,it_services,rajasthan,0.88,9.69,6056.57,0.0,none,5329.78,0.0,5329.78,58688.09,0,0,0,7001.27,7160.64,6857.93,6293.65,6161.12
SME_0002,2024-02-20,2024,2,1,it_services,rajasthan,0.88,9.69,6857.36,0.0,none,6034.48,0.0,6034.48,66447.74,0,0,0,6590.62,6555.66,6056.57,8089.32,5799.75
SME_0002,2024-03-21,2024,3,1,it_services,rajasthan,0.88,9.69,7200.63,0.0,none,6336.55,0.0,6336.55,69774.02,0,0,0,6704.85,6892.58,6857.36,6857.93,5900.27
SME_0002,2024-04-20,2024,4,2,it_services,rajasthan,0.88,9.69,12574.36,0.0,none,11065.44,0.0,11065.44,121845.4,0,1,0,8877.45,7939.36,7200.63,6056.57,7812.16
SME_0002,2024-05-20,2024,5,2,it_services,rajasthan,0.88,9.69,11829.55,0.0,none,10410.0,0.0,10410.0,114628.2,0,1,0,10534.85,8562.73,12574.36,6857.36,9270.66
SME_0002,2024-06-19,2024,6,2,it_services,rajasthan,0.88,9.69,11222.71,0.0,none,9875.98,0.0,9875.98,108747.93,1,1,0,11875.54,9290.2,11829.55,7200.63,10450.47
SME_0002,2024-07-19,2024,7,3,it_services,rajasthan,0.88,9.69,11510.67,0.0,none,10129.39,0.0,10129.39,111538.26,1,1,0,11520.98,10199.21,11222.71,12574.36,10138.46
SME_0002,2024-08-18,2024,8,3,it_services,rajasthan,0.88,9.69,11516.33,0.0,none,10134.37,0.0,10134.37,111593.1,1,1,0,11416.57,10975.71,11510.67,11829.55,10046.58
SME_0002,2024-09-17,2024,9,3,it_services,rajasthan,0.88,9.69,6767.68,0.0,none,5955.56,0.0,5955.56,65578.74,1,0,0,9931.56,10903.55,11516.33,11222.71,8739.77
SME_0002,2024-10-17,2024,10,4,it_services,rajasthan,0.88,9.69,7006.57,0.0,none,6165.78,0.0,6165.78,67893.58,0,0,1,8430.19,9975.59,6767.68,11510.67,7418.57
SME_0002,2024-11-16,2024,11,4,it_services,rajasthan,0.88,9.69,7265.73,0.0,none,6393.84,0.0,6393.84,70404.84,0,0,1,7013.33,9214.95,7006.57,11516.33,6171.73
SME_0003,2022-01-01,2022,1,1,plastics,telangana,0.74,7.99,11908.44,0.0,none,8812.25,0.0,8812.25,95177.84,0,0,0,11908.44,11908.44,11908.44,11908.44,8812.25
SME_0003,2022-01-31,2022,1,1,plastics,telangana,0.74,7.99,10073.74,0.0,none,7454.57,0.0,7454.57,80514.06,0,0,0,10991.09,10991.09,11908.44,11908.44,8133.41
SME_0003,2022-03-02,2022,3,1,plastics,telangana,0.74,7.99,18383.01,0.0,none,13603.43,0.0,13603.43,146925.64,0,1,0,13455.06,13455.06,10073.74,11908.44,9956.75
SME_0003,2022-04-01,2022,4,2,plastics,telangana,0.74,7.99,14090.39,0.0,none,10426.89,0.0,10426.89,112617.01,0,1,0,14182.38,13613.9,18383.01,11908.44,10494.96
SME_0003,2022-05-01,2022,5,2,plastics,telangana,0.74,7.99,17208.65,0.0,none,12734.4,0.0,12734.4,137539.6,0,1,0,16560.68,14332.85,14090.39,10073.74,12254.91
SME_0003,2022-05-31,2022,5,2,plastics,telangana,0.74,7.99,19896.47,0.0,none,14723.39,0.0,14723.39,159021.92,0,1,0,17065.17,15260.12,17208.65,18383.01,12628.23
SME_0003,2022-06-30,2022,6,2,plastics,telangana,0.74,7.99,10700.49,0.0,none,7918.36,0.0,7918.36,85523.34,1,0,0,15935.2,15058.79,19896.47,14090.39,11792.05
SME_0003,2022-07-30,2022,7,3,plastics,telangana,0.74,7.99,10714.2,0.0,none,7928.51,0.0,7928.51,85632.91,1,0,0,13770.39,15165.54,10700.49,17208.65,10190.09
SME_0003,2022-08-29,2022,8,3,plastics,telangana,0.74,7.99,10941.13,0.0,none,8096.44,0.0,8096.44,87446.64,1,0,0,10785.27,13925.22,10714.2,19896.47,7981.1
SME_0003,2022-09-28,2022,9,3,plastics,telangana,0.74,7.99,9931.26,0.0,none,7349.13,0.0,7349.13,79375.29,1,0,0,10528.86,13232.03,10941.13,10700.49,7791.36
SME_0003,2022-10-28,2022,10,4,plastics,telangana,0.74,7.99,12587.75,0.0,none,9314.94,0.0,9314.94,100607.2,0,1,1,11153.38,12461.88,9931.26,10714.2,8253.5
SME_0003,2022-11-27,2022,11,4,plastics,telangana,0.74,7.99,15284.24,0.0,none,11310.34,0.0,11310.34,122158.82,0,1,1,12601.08,11693.18,12587.75,10941.13,9324.8
SME_0003,2022-12-27,2022,12,4,plastics,telangana,0.74,7.99,9838.53,0.0,none,7280.51,0.0,7280.51,78634.15,0,0,0,12570.17,11549.52,15284.24,9931.26,9301.93
SME_0003,2023-01-26,2023,1,1,plastics,telangana,0.74,7.99,12184.19,0.0,none,9016.3,0.0,9016.3,97381.76,0,0,0,12435.65,11794.52,9838.53,12587.75,9202.38
SME_0003,2023-02-25,2023,2,1,plastics,telangana,0.74,7.99,11135.68,0.0,none,8240.4,0.0,8240.4,89001.58,0,0,0,11052.8,11826.94,12184.19,15284.24,8179.07
SME_0003,2023-03-27,2023,3,1,plastics,telangana,0.74,7.99,19620.48,0.0,none,14519.16,0.0,14519.16,156816.08,0,1,0,14313.45,13441.81,11135.68,9838.53,10591.95
SME_0003,2023-04-26,2023,4,2,plastics,telangana,0.74,7.99,15912.17,0.0,none,11775.01,0.0,11775.01,127177.53,0,1,0,15556.11,13995.88,19620.48,12184.19,11511.52
SME_0003,2023-05-26,2023,5,2,plastics,telangana,0.74,7.99,16569.37,0.0,none,12261.33,0.0,12261.33,132430.18,0,1,0,17367.34,14210.07,15912.17,11135.68,12851.83
SME_0003,2023-06-25,2023,6,2,plastics,telangana,0.74,7.99,13469.65,0.0,none,9967.54,0.0,9967.54,107655.76,1,0,0,15317.06,14815.26,16569.37,19620.48,11334.63
SME_0003,2023-07-25,2023,7,3,plastics,telangana,0.74,7.99,10443.28,0.0,none,7728.03,0.0,7728.03,83467.59,1,0,0,13494.1,14525.11,13469.65,15912.17,9985.63
SME_0003,2023-08-24,2023,8,3,plastics,telangana,0.74,7.99,11615.7,0.0,none,8595.62,0.0,8595.62,92838.12,1,0,0,11842.88,14605.11,10443.28,16569.37,8763.73
SME_0003,2023-09-23,2023,9,3,plastics,telangana,0.74,7.99,12394.63,0.0,none,9172.03,0.0,9172.03,99063.7,1,0,0,11484.54,13400.8,11615.7,13469.65,8498.56
SME_0003,2023-10-23,2023,10,4,plastics,telangana,0.74,7.99,13103.25,0.0,none,9696.41,0.0,9696.41,104727.32,0,1,1,12371.19,12932.65,12394.63,10443.28,9154.69
SME_0003,2023-11-22,2023,11,4,plastics,telangana,0.74,7.99,16199.59,0.0,none,11987.7,0.0,11987.7,129474.72,0,1,1,13899.16,12871.02,13103.25,11615.7,10285.38
SME_0003,2023-12-22,2023,12,4,plastics,telangana,0.74,7.99,11831.79,0.0,none,8755.52,0.0,8755.52,94565.22,0,0,0,13711.54,12598.04,16199.59,12394.63,10146.54
SME_0003,2024-01-21,2024,1,1,plastics,telangana,0.74,7.99,13137.68,0.0,none,9721.88,0.0,9721.88,105002.5,0,0,0,13723.02,13047.11,11831.79,13103.25,10155.03
SME_0003,2024-02-20,2024,2,1,plastics,telangana,0.74,7.99,11253.99,0.0,none,8327.95,0.0,8327.95,89947.17,0,0,0,12074.49,12986.82,13137.68,16199.59,8935.12
SME_0003,2024-03-21,2024,3,1,plastics,telangana,0.74,7.99,15438.25,0.0,none,11424.3,0.0,11424.3,123389.74,0,1,0,13276.64,13494.09,11253.99,11831.79,9824.71
