scenario_id,industry,state,grid_factor,solar_irradiation,monthly_kwh,baseline_co2_kg,tariff_per_kwh,solar_percent,ev_percent,peak_shift_hours,solar_co2_saved,ev_co2_saved,peak_co2_saved,total_co2_saved_kg,new_monthly_co2_kg,cost_saved_rs_month,cost_saved_rs_year,reduction_percent
SIM_00075,cement,telangana,0.74,5.2,33052.38,24458.76,6.39,14.84,57.98,5.5,3920.18,1877.9,2688.16,8661.63,15797.13,135139.62,1621675.47,35.41
SIM_00076,it_services,rajasthan,0.88,5.8,2381.68,2095.88,10.09,26.82,22.24,2.4,657.64,170.88,100.72,898.51,1197.37,17358.0,208296.0,42.87
SIM_00077,food_processing,west_bengal,0.9,4.5,6761.78,6085.6,7.31,70.26,37.48,6.3,4169.07,403.23,766.72,4921.86,1163.75,58407.58,700890.96,80.88
SIM_00078,food_processing,bihar,0.84,4.7,15510.24,13028.6,7.58,60.71,5.28,4.7,7949.6,115.95,1223.4,8266.69,4761.91,81245.9,974950.76,63.45
SIM_00079,cement,kerala,0.42,4.2,33975.46,14269.69,5.75,46.55,54.22,2.94,6177.0,2521.36,839.66,10317.64,3952.06,192341.09,2308093.1,72.3
SIM_00080,it_services,punjab,0.76,5.0,12665.24,9625.58,9.17,8.93,48.83,3.75,902.49,875.56,721.83,2239.54,7386.04,58078.0,696935.96,23.27
SIM_00081,plastics,haryana,0.8,5.1,22722.99,18178.39,7.81,8.66,14.26,2.94,1676.2,286.87,1070.69,3096.66,15081.73,34518.84,414226.1,17.03
SIM_00082,textile,uttar_pradesh,0.85,4.8,15229.66,12945.21,8.23,5.9,24.85,7.61,778.81,535.03,1970.26,3741.68,9203.54,42271.82,507261.79,28.9
SIM_00083,food_processing,madhya_pradesh,0.83,5.3,9055.18,7515.8,7.88,65.93,21.68,3.93,5261.06,200.79,590.14,5938.62,1577.17,62383.28,748599.31,79.02
SIM_00084,plastics,karnataka,0.62,5.3,16811.59,10423.19,8.52,31.75,25.78,0.48,3623.4,613.5,100.49,4502.0,5921.19,78750.0,944999.94,43.19
SIM_00085,food_processing,andhra_pradesh,0.72,5.4,16874.53,12149.66,6.36,76.42,19.31,2.05,8504.76,475.2,497.26,9591.12,2558.54,100053.3,1200639.6,78.94
SIM_00086,steel,maharashtra,0.79,5.1,44470.79,35131.92,7.58,38.07,36.75,3.38,14243.97,1669.31,2371.96,17446.63,17685.29,230320.22,2763842.66,49.66
SIM_00087,paper,andhra_pradesh,0.72,5.4,29522.24,21256.01,7.42,70.78,4.96,3.15,14879.21,247.07,1339.11,17126.5,4129.51,169622.77,2035473.23,80.57
SIM_00088,textile,rajasthan,0.88,5.8,14769.97,12997.57,7.02,18.21,10.21,4.68,2768.61,240.55,1217.26,3814.82,9182.76,38332.86,459994.31,29.35
SIM_00089,chemicals,delhi,0.72,4.9,50492.51,36354.61,6.99,58.45,49.69,4.38,21991.88,3725.01,3183.01,26927.96,9426.65,407473.57,4889682.87,74.07
SIM_00090,plastics,west_bengal,0.9,4.5,31590.45,28431.4,7.46,8.43,29.02,5.2,2337.67,1131.32,2956.0,7874.91,20556.49,90363.45,1084361.39,27.7
SIM_00091,pharma,uttar_pradesh,0.85,4.8,12008.01,10206.81,7.36,13.75,26.52,1.62,1431.21,448.14,329.84,2213.21,7993.6,37551.92,450623.02,21.68
SIM_00092,cement,karnataka,0.62,5.3,88261.99,54722.44,6.21,51.89,38.75,2.04,31095.02,4220.62,2234.82,42231.79,12490.65,514628.65,6175543.76,77.17
SIM_00093,steel,andhra_pradesh,0.72,5.4,15100.02,10872.02,6.38,15.04,34.92,2.81,1814.91,533.28,611.61,2939.71,7932.31,44139.17,529670.01,27.04
SIM_00094,food_processing,punjab,0.76,5.0,29118.27,22129.88,6.6,71.0,11.82,1.53,15490.92,327.25,679.13,15777.75,6352.14,153039.23,1836470.77,71.3
SIM_00095,food_processing,chhattisgarh,0.92,4.9,7671.1,7057.41,6.5,73.93,48.33,1.46,4940.19,562.63,205.7,6073.21,984.2,67443.8,809325.66,86.05
SIM_00096,paper,andhra_pradesh,0.72,5.4,16990.24,12232.97,7.88,18.76,18.05,6.44,2547.44,347.92,1575.86,4588.23,7644.75,50297.19,603566.33,37.51
SIM_00097,pharma,andhra_pradesh,0.72,5.4,8247.36,5938.1,7.15,9.23,34.88,6.94,608.38,419.86,823.74,1638.97,4299.13,29303.36,351640.29,27.6
SIM_00098,plastics,tamil_nadu,0.68,5.0,30707.9,20881.38,6.57,15.11,45.62,0.18,3313.12,1707.95,75.99,5572.4,15308.97,114683.94,1376207.3,26.69
SIM_00099,food_processing,punjab,0.76,5.0,4081.46,3101.91,6.53,39.09,25.84,7.5,1273.01,168.61,465.58,1971.85,1130.06,20724.32,248691.87,63.57
SIM_00100,food_processing,madhya_pradesh,0.83,5.3,18506.35,15360.27,5.97,75.28,18.46,1.55,10752.19,524.67,477.05,11463.97,3896.31,106461.51,1277538.14,74.63
SIM_00101,paper,west_bengal,0.9,4.5,28220.31,25398.28,6.39,34.56,10.91,6.12,8558.45,286.98,3109.08,11692.8,13705.48,83531.36,1002376.31,46.04
SIM_00102,textile,odisha,0.91,4.7,3066.16,2790.21,7.03,6.45,59.0,4.93,180.82,259.96,274.98,672.36,2117.84,16767.15,201205.82,24.1
SIM_00103,textile,madhya_pradesh,0.83,5.3,4251.05,3528.37,6.67,2.71,43.43,0.36,104.55,345.21,25.57,495.6,3032.77,19351.53,232218.37,14.05
SIM_00104,paper,jharkhand,0.89,4.6,34154.52,30397.53,6.36,5.0,20.06,5.67,1505.95,596.96,3447.28,5656.7,24740.82,51474.84,617698.05,18.61
SIM_00105,paper,madhya_pradesh,0.83,5.3,36349.55,30170.13,7.42,71.1,3.5,6.75,21119.09,129.38,4070.28,25130.96,5039.17,206622.75,2479473.03,83.3
SIM_00106,cement,kerala,0.42,4.2,32474.53,13639.3,6.76,57.11,8.43,2.55,7243.61,532.75,696.03,8289.17,5350.13,141999.9,1703998.81,60.77
SIM_00107,paper,delhi,0.72,4.9,23071.25,16611.3,7.38,19.32,21.9,0.36,3321.73,798.47,119.91,3843.55,12767.75,73988.72,887864.6,23.14
SIM_00108,cement,haryana,0.8,5.1,73255.29,58604.24,6.96,46.96,13.79,0.68,29308.3,1505.55,794.87,31473.31,27130.92,335854.59,4030255.11,53.7
SIM_00109,cement,chhattisgarh,0.92,4.9,43172.7,39718.88,6.76,22.28,20.9,6.11,9158.52,1094.11,4853.29,14292.28,25426.6,140487.83,1685853.98,35.98
SIM_00110,food_processing,gujarat,0.82,5.6,13724.47,11254.07,6.03,66.56,2.91,3.24,7877.85,58.05,728.25,7749.32,3504.75,62633.61,751603.27,68.86
SIM_00111,cement,telangana,0.74,5.2,43205.61,31972.15,6.12,74.05,51.57,7.84,22380.51,3036.82,5011.58,27017.66,4954.49,350002.13,4200025.53,84.5
SIM_00112,auto_components,punjab,0.76,5.0,14491.55,11013.58,6.35,64.74,49.62,7.51,7486.35,1203.31,1654.02,9697.83,1315.74,127949.15,1535389.74,88.05
SIM_00113,cement,andhra_pradesh,0.72,5.4,26464.26,19054.26,6.61,17.74,19.46,2.87,3751.01,911.73,1094.36,5450.67,13603.59,82646.67,991760.04,28.61
SIM_00114,chemicals,haryana,0.8,5.1,24459.56,19567.65,6.84,44.79,44.16,5.88,9334.49,991.75,2300.46,14151.91,5415.73,137592.26,1651107.15,72.32
SIM_00115,textile,delhi,0.72,4.9,19185.21,13813.35,6.78,7.45,51.73,0.0,1065.39,1665.15,1.13,2680.94,11132.41,92563.9,1110766.78,19.41
SIM_00116,it_services,jharkhand,0.89,4.6,5034.36,4480.58,9.54,32.24,12.48,1.54,1429.95,89.71,138.0,1517.68,2962.9,20784.1,249409.14,33.87
SIM_00117,textile,maharashtra,0.79,5.1,7222.12,5705.47,7.36,47.23,45.26,3.98,2870.07,317.15,453.96,3902.68,1802.8,44482.28,533787.35,68.4
SIM_00118,food_processing,punjab,0.76,5.0,13259.02,10076.85,7.3,12.72,54.79,1.4,1345.77,927.63,282.17,2408.62,7668.23,60961.34,731536.03,23.9
SIM_00119,plastics,uttar_pradesh,0.85,4.8,31070.97,26410.32,7.23,19.5,45.06,5.07,5253.73,1924.76,2676.33,9813.34,16596.98,155843.74,1870124.88,37.16
SIM_00120,pharma,chhattisgarh,0.92,4.9,32891.95,30260.59,9.1,29.61,5.53,0.31,9274.99,250.32,187.4,9829.45,20431.14,106617.05,1279404.64,32.48
SIM_00121,cement,bihar,0.84,4.7,61652.34,51787.96,6.01,8.3,6.56,6.54,4322.45,372.04,6777.07,11930.33,39857.64,65519.55,786234.66,23.04
SIM_00122,auto_components,maharashtra,0.79,5.1,42210.52,33346.31,6.51,18.56,50.49,5.07,6591.85,2121.31,3382.18,10853.7,22492.61,172871.41,2074456.94,32.55
SIM_00123,chemicals,tamil_nadu,0.68,5.0,46715.43,31766.49,7.92,20.64,36.41,0.79,6884.94,2660.18,498.88,10380.91,21385.58,210348.02,2524176.27,32.68
SIM_00124,textile,gujarat,0.82,5.6,17873.34,14656.13,6.83,31.64,57.46,1.37,5286.76,1495.92,402.21,8234.4,6421.74,124430.27,1493163.26,56.18
SIM_00125,food_processing,karnataka,0.62,5.3,8468.98,5250.77,7.17,38.99,55.8,5.29,2241.79,519.0,555.26,3315.43,1935.34,51988.99,623867.83,63.14
SIM_00126,textile,chhattisgarh,0.92,4.9,24292.48,22349.08,7.1,6.88,29.83,5.22,1591.21,766.03,2331.85,4461.93,17887.15,61420.78,737049.37,19.96
SIM_00127,plastics,bihar,0.84,4.7,8422.49,7074.89,7.96,32.95,54.26,4.57,2343.15,640.75,646.35,3627.2,3447.69,58528.0,702335.97,51.27
SIM_00128,steel,rajasthan,0.88,5.8,21312.63,18755.12,7.31,32.89,50.64,7.88,7216.86,890.15,2957.04,11093.87,7661.24,116659.89,1399918.73,59.15
SIM_00129,chemicals,haryana,0.8,5.1,18420.22,14736.18,7.67,50.52,30.34,7.43,7928.18,627.85,2190.02,11777.32,2958.85,115195.13,1382341.61,79.92
SIM_00130,plastics,bihar,0.84,4.7,30597.01,25701.49,7.33,46.02,2.42,7.57,11888.23,110.78,3891.59,14028.74,11672.75,119852.88,1438234.53,54.58
SIM_00131,auto_components,west_bengal,0.9,4.5,44691.71,40222.54,6.38,18.92,23.66,5.6,7420.0,1127.64,4507.61,14724.52,25498.02,125607.14,1507285.71,36.61
SIM_00132,auto_components,jharkhand,0.89,4.6,41545.54,36975.53,6.12,29.93,35.79,6.51,10956.57,2057.15,4816.78,18655.38,18320.15,200164.22,2401970.66,50.45
SIM_00133,chemicals,punjab,0.76,5.0,53984.1,41027.92,7.94,68.82,28.35,7.81,28719.54,1504.87,6408.29,36640.52,4387.39,396669.61,4760035.34,89.31
SIM_00134,it_services,haryana,0.8,5.1,12806.91,10245.53,10.0,75.72,24.73,1.02,7171.87,455.43,208.6,8274.27,1971.27,114279.09,1371349.1,80.76
SIM_00135,paper,madhya_pradesh,0.83,5.3,7928.32,6580.5,7.34,24.97,38.87,2.06,1799.44,347.87,270.89,2634.05,3946.45,35212.46,422549.54,40.03
SIM_00136,steel,tamil_nadu,0.68,5.0,65952.3,44847.57,6.62,76.87,16.58,2.34,31393.3,1936.83,2103.25,34315.28,10532.29,405465.28,4865583.35,76.52
SIM_00137,food_processing,gujarat,0.82,5.6,6301.45,5167.19,6.8,74.28,39.15,6.15,3617.03,404.62,635.05,3609.6,1557.59,53058.46,636701.54,69.86
SIM_00138,textile,delhi,0.72,4.9,9217.13,6636.34,8.57,66.15,29.31,1.42,4543.38,425.76,188.0,5113.09,1523.25,75855.13,910261.52,77.05
SIM_00139,plastics,telangana,0.74,5.2,14554.98,10770.69,7.8,61.31,37.77,4.09,7132.06,546.18,880.59,8462.6,2308.09,105386.16,1264633.91,78.57
SIM_00140,it_services,odisha,0.91,4.7,14448.23,13147.89,8.86,19.35,18.06,5.31,2557.18,398.75,1396.03,5122.72,8025.17,51585.61,619027.37,38.96
SIM_00141,cement,chhattisgarh,0.92,4.9,76774.4,70632.45,6.26,20.32,52.73,0.06,14857.25,3831.55,87.32,20702.59,49929.85,320132.51,3841590.14,29.31
SIM_00142,chemicals,andhra_pradesh,0.72,5.4,58515.23,42130.96,8.06,25.16,17.56,6.43,11766.71,1076.82,5421.01,18776.7,23354.27,203364.64,2440375.71,44.57
SIM_00143,auto_components,jharkhand,0.89,4.6,37454.93,33334.89,8.01,74.24,51.1,7.67,23334.42,3081.45,5115.25,25189.75,8145.13,395977.59,4751731.02,75.57
SIM_00144,steel,kerala,0.42,4.2,54212.66,22769.32,5.83,12.39,26.4,5.53,2623.56,1997.2,2517.34,7323.17,15446.14,129503.6,1554043.17,32.16
SIM_00145,pharma,bihar,0.84,4.7,27074.23,22742.35,7.1,22.54,43.55,7.23,5151.69,1294.35,3286.52,10241.43,12500.93,121550.38,1458604.58,45.03
SIM_00146,food_processing,uttar_pradesh,0.85,4.8,28679.02,24377.17,6.17,37.6,31.03,3.53,9348.27,817.59,1722.31,12209.03,12168.13,115944.29,1391331.48,50.08
SIM_00147,cement,haryana,0.8,5.1,72372.53,57898.02,7.2,71.32,2.96,2.93,40528.62,304.78,3388.48,42101.8,15796.22,389676.1,4676113.22,72.72
SIM_00148,steel,madhya_pradesh,0.83,5.3,24345.01,20206.36,6.63,45.77,47.99,7.79,10127.51,1657.0,3149.6,14443.35,5763.01,177048.51,2124582.15,71.48
SIM_00149,chemicals,karnataka,0.62,5.3,42140.99,26127.41,6.66,51.97,29.76,6.15,14866.99,2048.42,3215.75,20724.36,5403.06,265288.36,3183460.31,79.32
SIM_00150,it_services,haryana,0.8,5.1,9231.68,7385.35,8.83,71.16,46.36,7.92,5169.74,733.29,1169.99,6224.03,1161.31,99323.04,1191876.53,84.28
SIM_00151,it_services,chhattisgarh,0.92,4.9,3909.68,3596.91,9.74,32.4,12.58,7.8,1206.08,81.11,561.16,1791.69,1805.21,19176.3,230115.61,49.81
SIM_00152,cement,andhra_pradesh,0.72,5.4,39438.1,28395.43,5.59,65.38,59.35,4.37,19876.8,3094.11,2484.16,20479.62,7915.81,313592.76,3763113.13,72.12
